Title,Artist,Language,Genre,Period
Im not in love,10cc,English,"art rock, glam rock",1970'
What's Up?,4 Non Blondes,English,Unknown,1990'
Lili (U turn),Aaron,English,french indie pop,2000'
Dancing Queen,ABBA,English,Unknown,1970'
Mamma Mia,ABBA,English,Unknown,1970'
The winner takes it all,ABBA,English,Unknown,1980'
Easy on me,Adele,English,soft pop,2010 and after'
Cryin,Aerosmith,English,"classic rock, rock",1990'
Dream on,Aerosmith,English,"classic rock, rock",1970'
I Dont Want To Miss A Thing,Aerosmith,English,"classic rock, rock",1990'
How can you mend a broken heart,Al Green,English,"soul, motown, soul blues",1970'
Year of the Cat,Al Stewart,English,soft rock,1970'
Vertige de l'amour,Alain Bashung,French,"chanson, variété française, french pop, french house",1980'
Les microsillons,Alain Chamfort,French,"variété française, chanson, french pop, french house",2010 and after'
Felicita,Albano e romina power,Italien-Corse,"italo dance, italo disco",1980'
Fallin,Alicia Keys,English,"r&b, neo soul",2000'
If I ain't got you,Alicia Keys,English,"r&b, neo soul",2000'
A-horse with no name,America,English,"soft rock, folk rock",1970'
Back to Black,Amy Winehouse,English,Unknown,2000'
Love Is a Losing Game,Amy Winehouse,English,Unknown,2000'
You Know I'm No Good,Amy Winehouse,English,Unknown,2000'
House Of The Rising Sun,Animals,English,classic rock,1960'
Le prisonnier,Antoine Ciosi,Italien-Corse,chanson,trad
Quiet Nights Of Quiet Stars,Antonio Carlos Jobim,English,"bossa nova, jazz, brazilian jazz, cool jazz, latin jazz",1960'
I say A Little Prayer,Aretha Franklin,English,"soul, motown, jazz blues",1960'
Natural Woman,Aretha Franklin,English,"soul, motown, jazz blues",1960'
Complicated.,Avril Lavigne,English,Unknown,2000'
Sensualite,Axelle red,French,"variété française, chanson, french pop, french house",1990'
Dis quand reviendras tu ?,Barbara,French,"chanson, variété française",1960'
l'aigle noir,Barbara,French,"chanson, variété française",1970'
Three O clock blues,BB King,English,"blues, blues rock, classic rock",1950 and before'
Babara Ann,Beach Boys,English,baroque pop,1960'
Surfin Usa,Beach Boys,English,baroque pop,1960'
Wouldn't It Be Nice,Beach Boys,English,baroque pop,1960'
isolation,Beck-deep lennon,English,"speed metal, heavy metal, thrash metal, metal",2000'
How Deep Is Your Love,Bee Gees,English,disco,1970'
Stand By Me,Ben E King,English,Unknown,1960'
Comment est ta peine,Benjamin Biolay,French,"french pop, chanson, variété française, french jazz, french house",2010 and after'
Angola,Bernard Lavilliers,French,"chanson, variété française, french pop, french house",2010 and after'
On the Road Again,Bernard Lavilliers,French,"chanson, variété française, french pop, french house",1980'
Ces Idees la,Bertignac,French,"variété française, chanson, french pop",1990'
The Rose,Bette Midler,English,Unknown,1970'
Birds of a feather,Billie Eilish,English,Unknown,2010 and after'
Lamour de ma vie,Billie Eilish,English,Unknown,2010 and after'
All Of Me,Billie Holiday,English,"jazz, vocal jazz, jazz blues, big band",2010 and after'
Blue moon,Billie Holiday,English,"jazz, vocal jazz, jazz blues, big band",1950 and before'
I'm a fool to want you,Billie holiday,English,"jazz, vocal jazz, jazz blues, big band",1950 and before'
Ill be seeing you,Billie Holiday,English,"jazz, vocal jazz, jazz blues, big band",1950 and before'
Stormy weather,Billie Holiday,English,"jazz, vocal jazz, jazz blues, big band",1950 and before'
Skinny Love,Birdy,English,Unknown,2000'
