Title,Artist,Language,Genre,Period
Im not in love,10cc,English,"glam rock",1970'
What's Up?,4 Non Blondes,English,rock,1990'
Lili (U turn),Aaron,English,pop,2000'
Dancing Queen,ABBA,English,pop,1970'
Mamma Mia,ABBA,English,pop,1970'
The winner takes it all,ABBA,English,pop,1980'
Easy on me,Adele,English,pop,2010 and after'
Cryin,Aerosmith,English,rock,1990'
Dream on,Aerosmith,English,rock,1970'
I Dont Want To Miss A Thing,Aerosmith,English,rock,1990'
How can you mend a broken heart,Al Green,English,r&b,1970'
Year of the Cat,Al Stewart,English,rock,1970'
Vertige de l'amour,Alain Bashung,French,rock,1980'
Les microsillons,Alain Chamfort,French,pop,2010 and after'
Felicita,Albano e romina power,Italien-Corse,disco,1980'
Fallin,Alicia Keys,English,r&b,2000'
If I ain't got you,Alicia Keys,English,r&b,2000'
A-horse with no name,America,English,folk rock,1970'
Back to Black,Amy Winehouse,English,pop,2000'
Love Is a Losing Game,Amy Winehouse,English,pop,2000'
You Know I'm No Good,Amy Winehouse,English,pop,2000'
House Of The Rising Sun,Animals,English,rock,1960'
Le prisonnier,Antoine Ciosi,Italien-Corse,chanson,trad
Quiet Nights Of Quiet Stars,Antonio Carlos Jobim,English,bossa,1960'
I say A Little Prayer,Aretha Franklin,English,r&b,1960'
Natural Woman,Aretha Franklin,English,r&b,1960'
Complicated,Avril Lavigne,English,rock,2000'
Sensualite,Axelle red,French,pop,1990'
Dis quand reviendras tu ?,Barbara,French,chanson,1960'
l'aigle noir,Barbara,French,chanson,1970'
Three O clock blues,BB King,English,blues,1950 and before'
Babara Ann,Beach Boys,English,pop,1960'
Surfin Usa,Beach Boys,English,pop,1960'
Wouldn't It Be Nice,Beach Boys,English,pop,1960'
isolation,Beck-deep lennon,English,hard rock,2000'
How Deep Is Your Love,Bee Gees,English,disco,1970'
Stand By Me,Ben E King,English,r&b,1960'
Comment est ta peine,Benjamin Biolay,French,pop,2010 and after'
Angola,Bernard Lavilliers,French,pop,2010 and after'
On the Road Again,Bernard Lavilliers,French,pop,1980'
Ces Idees la,Bertignac,French,rock,1990'
The Rose,Bette Midler,English,song,1970'
Birds of a feather,Billie Eilish,English,pop,2010 and after'
Lamour de ma vie,Billie Eilish,English,pop,2010 and after'
All Of Me,Billie Holiday,English,jazz,2010 and after'
Blue moon,Billie Holiday,English,jazz,1950 and before'
I'm a fool to want you,Billie holiday,English,jazz,1950 and before'
Ill be seeing you,Billie Holiday,English,jazz,1950 and before'
Stormy weather,Billie Holiday,English,jazz,1950 and before'
Skinny Love,Birdy,English,pop,2000'
All The Small Things,Blink 182,English,punk,1990'
Call Me,Blondie,English,rock,1980'
Un soir de pluie,Blues Trottoir,French,bossa,1980'
Redemption Song,Bob Marley,English,reggae,1980'
Three Little Birds,Bob Marley,English,reggae,1980'
Total eclipse of the heart,Bonnie Tyler,English,pop,1980'
Guitar Man,Bread,English,rock,1970'
Ma benz,Brigitte,French,pop,1990'
Baby one more time,Britney spears,English,pop,1990'
Shenandoah,Bruce Springsteen,English,folk rock,trad
Everything I Do I Do it For You,Bryan Adams,English,rock,1990'
That ll be the day,Buddy Holly,English,rock,1950 and before'
I will survive,Cake,English,pop,1990'
Si seulement je pouvais lui manquer,Calogero,French,pop,2000'
How insensitive,Carlos Jobim,English,bossa,1960'
It's Too Late,Carole King,English,folk rock,1970'
Close To You,Carpenters,English,song,1970'
Yesterday Once More,Carpenters,English,song,1970'
Father and Son,Cat Stevens,English,folk rock,1970'
Wild World,Cat Stevens,English,folk rock,1970'
La Boheme,Charles Aznavour,French,chanson,1960'
Mourir d'aimer,Charles Aznavour,French,chanson,1970'
I get along without you,Chet Baker,English,jazz,1950 and before'
My Funny Valentine,Chet Baker,English,jazz,1950 and before'
Tennessee whiskey,Chris Stappleton,English,blues,2010 and after'
Les mots bleus,Christophe,French,pop,1970'
Les paradis perdus,Christophe,French,pop,1970'
No Particular place to go,Chuck Berry,English,rock,1960'
Time after time,Cindy Lauper,English,pop,1980'
True Colors,Cindy Lauper,English,pop,1980'
Altru mundu,Ciosi- A filetta,Italien-Corse,chanson,trad
la grenade,Clara Luciani,French,pop,2010 and after'
Should I Stay or Should I Go,Clash,English,punk,1980'
Cecile,Claude Nougaro,French,jazz,1960'
Tu verras,Claude Nougaro,French,jazz,1970'
Clocks,Coldplay,English,pop,2000'
The Scientist,Coldplay,English,pop,2000'
Ode To My Family,Cranberries,English,rock,1990'
Zombie,Cranberries,English,rock,1990'
Have you ever seen the Rain,Creedence Clearwater Revival,English,rock,1970'
I Heard It Trough The Grapevine,Creedence Clearwater Revival,English,r&b,1960'
Proud mary,Creedence Clearwater Revival,English,rock,1960'
Bang Bang,Dalida,Italien-Corse,chanson,1960'
Laissez moi danser,Dalida,French,disco,1970'
Mourir sur scene,Dalida,French,disco,1980'
Tous les cris les SOS,Daniel Balavoine,French,pop,1980'
Life on mars,David Bowie,English,glam rock,1970'
rock n roll suicide,David Bowie,English,glam rock,1970'
Space Oddity,David Bowie,English,glam rock,1960'
Starman,David Bowie,English,glam rock,1970'
Ziggy Stardust,David Bowie,English,glam rock,1970'
Je Crois Entendre Encore,David Gilmour/ Bizet,French,chanson,trad
Tu ne m'as pas laisse le temps,David Hallyday,French,pop,1990'
White Flag,Dido,English,song,2000'
Je n'veux pas rester sage,Dolly,French,rock,1990'
Nel blu dipinto di blu (Volare),Domenico Modugno,Italien-Corse,canzone,1950 and before'
Liberta,E cardeline,Italien-Corse,chanson,trad
Hotel California,Eagles,English,rock,1970'
Peaceful Easy Feeling,Eagles,English,rock,1970'
Santa baby,Eartha Kitt,English,christmas,1950 and before'
Couleur menthe a l'eau,Eddy Mitchell,French,pop,1980'
Les amants d'un jour,Edith Piaf,French,chanson,1950 and before'
Misty,Ella Fitzgerald,English,jazz,1950 and before'
Can't Help Falling in Love,Elvis Presley,English,rock,1960'
Cocaine,Eric Clapton,English,blues,1970'
Wonderful tonight,Eric Clapton,English,rock,1970'
Week-end a Rome,Etienne Daho,French,pop,1980'
At Last,Etta James,English,blues,1960'
I'd rather go blind,Etta James,English,blues,1960'
Sunday kind of love,Etta James,English,blues,1960'
Sweet Dreams,Eurythmics,English,pop,1980'
More than words,Extreme,English,rock,1990'
Le monde est stone,Fabienne Thibault,French,pop,1970'
Mon pere etait tellement de gauche,Fatals picards,French,engage,2000'
Le petit bonheur,Felix Leclerc,French,chanson,1950 and before'
Quand les hommes vivront d'amour,Felix Leclerc,French,chanson,1950 and before'
Dreams,Fleetwood Mac,English,rock,1970'
Cezanne Peint,France Gall,French,pop,1980'
Comment Lui Dire,France Gall,French,pop,1970'
Evidemment,France Gall,French,pop,1980'
La Declaration Damour,France Gall,French,pop,1970'
Laisse Tomber Les Filles,France Gall,French,pop,1960'
Monopolis,France Gall,French,pop,1980'
Si maman si,France Gall,French,pop,1970'
Repondez-moi,Francis Cabrel,French,engage,1980'
Something stupid,Franck et Nancy Sinatra,English,song,1960'
Le ciel le soleil et la mer,Francois Deguelt,French,chanson,1960'
L'amitie,Francoise Hardy,French,pop,1960'
Message Personnel,Francoise Hardy,French,pop,1970'
Parlez-moi de lui,Francoise hardy,French,pop,1960'
Partir quand meme,Francoise Hardy,French,pop,1980'
Si vous n'avez rien a me dire,Francoise Hardy,French,pop,2010 and after'
Tant de belles choses,Francoise Hardy,French,pop,2000'
Puisque vous partez en voyage,Francoise Hardy - jean Sablon,French,jazz,1950 and before'
As the years go passing by,Gary Moore,English,blues,1990'
Midnight blues,Gary Moore,English,blues,1990'
Still got the blues,Gary Moore,English,blues,1990'
That's why i play the blues,Gary Moore,English,blues,2000'
Horizons,Genesis,English,progressive rock,1970'
Here Comes the Sun,George Harrison - The Beatles,English,rock,1960 Beatles Rolling stones'
While My Guitar,George Harrisson,English,rock,1960 Beatles Rolling stones'
Il n'y a pas d'amour heureux,Georges Brassens,French,chanson,1950 and before'
Je me suis fait tout petit,Georges Brassens,French,chanson,1950 and before'
L'eau de la claire fontaine,Georges Brassens,French,chanson,1960'
Les Copains d'abord,Georges Brassens,French,chanson,1960'
Summertime,Georges Gershwin,English,jazz,1950 and before'
You'll Never Walk Alone,Gerry and The Pacemakers,English,rock,1960'
Sei nell'anima,Gianna Naninni,Italien-Corse,canzone,2000'
Meravigliosa,Gianna Nannini,Italien-Corse,canzone,1990'
Je reviens te chercher,Gilbert Becaud,French,chanson,1960'
I Will Survive,Gloria Gaynor,English,disco,1990'
21 Guns,Green Day,English,punk,2000'
Boulevard of Broken Dreams,Greenday,English,punk,2000'
Wake Me up When September Ends,Greenday,English,punk,2000'
Sweet child O mine,Gun N Roses,English,hard rock,1980'
Sign of the times,Harry Style,English,pop,2010 and after'
C'est Noel ma mie,Henri Salvador,French,christmas,1950 and before'
Dans mon ile,Henri Salvador,French,jazz,1950 and before'
Syracuse,Henry Salvador,French,jazz,1960'
Jardin D'hiver,Henry Salvador-Benjamin Biolay,French,bossa,2000'
No Milk Today,Herman's Hermits,English,pop,1960'
Cigarette,Higelin,French,rock,1970'
Je ne peux plus dire je taime,Higelin,French,rock,1970'
L’ange et le salaud,Higelin,French,rock,1970'
The Reason,Hoobastank,English,progressive rock,2000'
Ricordu,I surghjenti,Italien-Corse,chanson,trad
Pull Marine,Isabelle Adjani,French,pop,1980'
Quand on a que l'amour,Jacques Brel,French,chanson,1950 and before'
La fille du pere noel,Jacques Dutronc,French,rock,1960'
La rousse au chocolat,Jacques Higelin,French,rock,1970'
Di doo dah,Jane Birkin,French,pop,1970'
Fuir le bonheur,Jane Birkin,French,pop,1980'
Jane B,Jane Birkin,French,pop,1960'
Quoi,Jane Birkin,French,pop,1980'
Me and Bobby McGee,Janis Joplin,English,rock,1970'
C'est beau la vie,Jean Ferrat,French,chanson,1960'
La montagne,Jean Ferrat,French,chanson,1960'
Ma mome,Jean Ferrat,French,chanson,1960'
Que serais-je sans toi,Jean Ferrat,French,chanson,1960'
Aimer a perdre la raison,Jean Ferrat-Aragon,French,chanson,1970'
Alter Ego,Jean Louis Aubert,French,pop,2000'
Rouge,Jean-Jacques Goldman,French,engage,1990'
Sister Jane,Jean-Jacques Goldman,English,pop,1970'
Ailleurs,Jean-Louis Aubert,French,pop,2000'
Bien sur,Jean-Louis Aubert,French,pop,2010 and after'
India song,Jeanne Moreau,French,jazz,1970'
Hallelujah,Jeff Buckley,English,rock,1990'
Many Rivers to Cross,Jimmy Cliff,English,rock,1960'
