Title,Artist,Language,genre,Period
Im not in love,10cc,English,Pop,1970'
What's Up?,4 Non Blondes,English,Pop,1990'
Lili (U turn),Aaron,English,Variete,2000'
Dancing Queen,ABBA,English,Variete,1970'
Mamma Mia,ABBA,English,Variete,1970'
The winner takes it all,ABBA,English,Variete,1980'
Easy on me,Adele,English,Girly,2010 and after'
Cryin,Aerosmith,English,Variete,1990'
Dream on,Aerosmith,English,Rock,1970'
I Dont Want To Miss A Thing,Aerosmith,English,Rock,1990'
How can you mend a broken heart,Al Green,English,Variete,1970'
Year of the Cat,Al Stewart,English,Variete,1970'
Vertige de l'amour,Alain Bashung,French,Variete,1980'
Les microsillons,Alain Chamfort,French,Variete,2010 and after'
Felicita,Albano e romina power,Italien-Corse,Variete,1980'
Fallin,Alicia Keys,English,Variete,2000'
If I ain't got you,Alicia Keys,English,Variete,2000'
A-horse with no name,America,English,Variete,1970'
Back to Black,Amy Winehouse,English,Girly,2000'
Love Is a Losing Game,Amy Winehouse,English,Girly,2000'
You Know I'm No Good,Amy Winehouse,English,Girly,2000'
House Of The Rising Sun,Animals,English,Variete,1960'
Le prisonnier,Antoine Ciosi,Italien-Corse,Variete,trad
Quiet Nights Of Quiet Stars,Antonio Carlos Jobim,English,Bossa,1960'
I say A Little Prayer,Aretha Franklin,English,Variete,1960'
Natural Woman,Aretha Franklin,English,Variete,1960'
Complicated.,Avril Lavigne,English,Variete,2000'
Sensualite,Axelle red,French,Variete,1990'
Dis quand reviendras tu ?,Barbara,French,Variete,1960'
l'aigle noir,Barbara,French,Variete,1970'
Three O clock blues,BB King,English,Variete,1950 and before'
Babara Ann,Beach Boys,English,Variete,1960'
Surfin Usa,Beach Boys,English,Variete,1960'
Wouldn't It Be Nice,Beach Boys,English,Variete,1960'
isolation,Beck-deep lennon,English,Variete,2000'
How Deep Is Your Love,Bee Gees,English,Variete,1970'
Stand By Me,Ben E King,English,wedding,1960'
Comment est ta peine,Benjamin Biolay,French,Variete,2010 and after'
Angola,Bernard Lavilliers,French,Variete,2010 and after'
On the Road Again,Bernard Lavilliers,French,Variete,1980'
Ces Idees la,Bertignac,French,Variete,1990'
The Rose,Bette Midler,English,Variete,1970'
Birds of a feather,Billie Eilish,English,Girly,2010 and after'
Lamour de ma vie,Billie Eilish,English,Girly,2010 and after'
All Of Me,Billie Holiday,English,Jazz,2010 and after'
Blue moon,Billie Holiday,English,Jazz,1950 and before'
I'm a fool to want you,Billie holiday,English,Variete,1950 and before'
Ill be seeing you,Billie Holiday,English,Variete,1950 and before'
Stormy weather,Billie Holiday,English,Jazz,1950 and before'
Skinny Love,Birdy,English,Variete,2000'
All The Small Things,Blink 182,English,Variete,1990'
Call Me,Blondie,English,Pop,1980'
Un soir de pluie,Blues Trottoir,French,Bossa,1980'
Redemption Song,Bob Marley,English,Variete,1980'
Three Little Birds,Bob Marley,English,Variete,1980'
Total eclipse of the heart,Bonnie Tyler,English,Variete,1980'
Guitar Man,Bread,English,Variete,1970'
Ma benz,Brigitte,French,Variete,1990'
Baby one more time,Britney spears,English,Girly,1990'
Shenandoah,Bruce Springsteen,English,Variete,trad
Everything I Do I Do it For You,Bryan Adams,English,Variete,1990'
That ll be the day,Buddy Holly,English,Variete,1950 and before'
I will survive,Cake,English,Variete,1990'
Si seulement je pouvais lui manquer,Calogero,French,Variete,2000'
How insensitive,Carlos Jobim,English,Bossa,1960'
It's Too Late,Carole King,English,Variete,1970'
Close To You,Carpenters,English,Variete,1970'
Yesterday Once More,Carpenters,English,Variete,1970'
Father and Son,Cat Stevens,English,Variete,1970'
Wild World,Cat Stevens,English,Variete,1970'
La Boheme,Charles Aznavour,French,Variete,1960'
Mourir d'aimer,Charles Aznavour,French,Variete,1970'
I get along without you,Chet Baker,English,Variete,1950 and before'
My Funny Valentine in C,Chet Baker,English,Jazz,1950 and before'
Tennessee whiskey,Chris Stappleton,English,wedding,2010 and after'
Les mots bleus,Christophe,French,Variete,1970'
Les paradis perdus,Christophe,French,Variete,1970'
No Particular place to go,Chuck Berry,English,Rock,1960'
Time after time,Cindy Lauper,English,Variete,1980'
True Colors,Cindy Lauper,English,Variete,1980'
Altru mundu,Ciosi- A filetta,Italien-Corse,Variete,trad
la grenade,Clara Luciani,French,Variete,2010 and after'
Should I Stay or Should I Go,Clash,English,Rock,1980'
Cecile,Claude Nougaro,French,wedding,1960'
Tu verras,Claude Nougaro,French,Variete,1970'
Clocks,Coldplay,English,Variete,2000'
The Scientist,Coldplay,English,Pop,2000'
Ode To My Family,Cranberries,English,Pop,1990'
Zombie,Cranberries,English,Variete,1990'
Have you ever seen the Rain,Creedence Clearwater Revival,English,Variete,1970'
I Heard It Trough The Grapevine,Creedence Clearwater Revival,English,Variete,1960'
Proud mary,Creedence Clearwater Revival,English,Rock,1960'
Bang Bang,Dalida,Italien-Corse,Variete,1960'
Laissez moi danser,Dalida,French,Variete,1970'
Mourir sur scene,Dalida,French,Variete,1980'
Tous les cris les SOS,Daniel Balavoine,French,Variete,1980'
Life on mars,David Bowie,English,Variete,1970'
rock n roll suicide,David Bowie,English,Pop,1970'
Space Oddity,David Bowie,English,Pop,1960'
Starman,David Bowie,English,Variete,1970'
Ziggy Stardust,David Bowie,English,Variete,1970'
Je Crois Entendre Encore,David Gilmour/ Bizet,French,Variete,trad
Tu ne m'as pas laisse le temps,David Hallyday,French,Variete,1990'
White Flag,Dido,English,Variete,2000'
Je n'veux pas rester sage,Dolly,French,Variete,1990'
Nel blu dipinto di blu (Volare),Domenico Modugno,Italien-Corse,Variete,1950 and before'
Liberta,E cardeline,Italien-Corse,Variete,trad
Hotel California,Eagles,English,Variete,1970'
Peaceful Easy Feeling,Eagles,English,Variete,1970'
Santa baby,Eartha Kitt,English,Jazz,1950 and before'
Couleur menthe a l'eau,Eddy Mitchell,French,Variete,1980'
