Title,Artist,Langue,genre,Period
21 Guns,Green Day,English,Variete,2000'
50 Ways To Leave,Paul Simon,English,Pop,1970'
A-Hard Day's Night,Beatles,English,Variete,1960 Beatles Rolling stones'
A-horse with no name,America,English,Variete,1970'
A-Kind of Magic,Queen,English,Variete,1980'
A-la folie,Juliette Armanet,French,Variete,inconnu
A-Whiter Shade of Pale,Procul Harum,English,Variete,1960'
About A Girl,Nirvana,English,Variete,1990'
Across The Universe,Beatles,English,Variete,1960 Beatles Rolling stones'
Ailleurs,Jean-Louis Aubert,French,Variete,inconnu
Aimer a perdre la raison,Jean Ferrat-Aragon,French,Variete,inconnu
All about that bass,Meghan Trainor,English,Girly,2010'
All Day And All Of The Night.  A refaire,Kinks,English,Variete,1960'
All I Want for Christmas Is You,Mariah Carey,English,Christmas,1990'
All My Loving,The Beatles,English,Variete,1960 Beatles Rolling stones'
All Of Me,Billie Holiday,English,Jazz,2010'
All of Me,John Legend,English,Jazz,2010'
All Right Now  a refaire,Free,English,Variete,1970'
All The Small Things,Blink 182,English,Variete,1990'
all weeks,PDF,English,Variete,inconnu
All You Need Is Love,The Beatles,English,Variete,1960 Beatles Rolling stones'
Alter Ego,Jean Louis Aubert,French,Variete,inconnu
Altru mundu,Ciosi- A filetta,Italien-Corse,Variete,inconnu
Always Remember Us This Way,Lady Gaga,English,Variete,2010'
Amoureuse,Veronique Sanson,French,Variete,inconnu
And I Love Her,The Beatles,English,Variete,1960 Beatles Rolling stones'
Angel a refaire,Aerosmith,English,Variete,inconnu
Angels,Robbie Williams,English,Variete,1990'
Angie  a refaire,The Rolling Stones,English,Variete,inconnu
Angola,Bernard Lavilliers,French,Variete,inconnu
Another Brick in the Wall Part 2,Pink Floyd,English,Variete,1970'
Another Brick in the Wall Part 2  -solo a refaire,Pink Floyd,English,Variete,inconnu
Another One Bites the Dust  a refaire,Queen,English,Variete,1980'
Any colour you like a refaire,Pink Floyd,English,Variete,inconnu
Are You Gonna Be My Girl   a refaire,Jet,English,Variete,2000'
As Tears Go By,Rolling Stones,English,Variete,1960 Beatles Rolling stones'
As the years go passing by,Gary Moore,English,Blues,inconnu
At Last,Etta James,English,Jazz,1960'
Babara Ann,Beach Boys,English,Variete,1960'
Babe I'm Gonna Leave You,Led Zeppelin,English,Variete,1970'
Baby Love a refaire,Diana Ross&the supremes,English,Variete,1960'
Baby one more time,Britney spears,English,Girly,1990'
Back in the USSR,Beatles,English,Variete,1960 Beatles Rolling stones'
Back to Black,Amy Winehouse,English,Girly,2000'
Bad boy,Yseult,French,Variete,inconnu
Bahia,Veronique Sanson,French,Variete,inconnu
Balance ton quoi,Angele,French,Variete,inconnu
Bang Bang,Dalida,Italien-Corse,Variete,1960'
Bang Bang,Nancy Sinatra,Italien-Corse,Variete,1960'
Be My Baby,Ronettes - Phil Spector,English,Variete,1960'
Because The Night,Patti Smith,English,Variete,1970'
Behind blue eyes,The Who,English,Variete,1970'
Bella ciao,Traditional,Italien-Corse,Variete,inconnu
Besoin de personne,Veronique Sanson,French,Variete,inconnu
Bien sur,Jean-Louis Aubert,French,Variete,inconnu
Birds of a feather,Billie Eilish,English,Girly,2010'
Bitch,Meredith Brooks,English,Girly,1990'
Bitter Sweet Symphony a refaire,The Verve,English,Variete,1990'
black hole sun  a refaire,Soundgarden,English,Variete,1990'
Black magic woman,Santana,English,Variete,1960'
Blue moon,Billie Holiday,English,Jazz,1950 and before'
Born to be wild a refaire,Steppenwolf,English,Rock,1960'
Boulevard of Broken Dreams,Greenday,English,Pop,2000'
Brain damage,Pink Floyd,English,Variete,1970'
Breathe,Pink Floyd,English,Variete,1970'
Buffalo Soldier a refaire,Bob Marley,English,Variete,1980'
C'est beau la vie,Jean Ferrat,French,Variete,inconnu
C'est Noel ma mie,Henri Salvador,French,Bossa,inconnu
California Dreaming,Mamas and The Papas,English,Variete,1960'
Californication a refaire,Red Hot Chili Peppers,English,Variete,1990'
Call Me,Blondie,English,Pop,1980'
Can't Buy Me Love,Beatles,English,Variete,1960 Beatles Rolling stones'
Can't Help Falling in Love,Elvis Presley,English,wedding,1960'
Cecile,Claude Nougaro,French,wedding,inconnu
Ces Idees la,Bertignac,French,Variete,inconnu
Cezanne Peint,France Gall,French,Variete,inconnu
Chandelier a refaire,Sia,English,Variete,2010'
Chanson pour une drole de vie,veronique sanson,French,Variete,inconnu
Chasing Cars,Snow Patrol,English,Pop,2000'
Cheek to Cheek arefaire,Doris Day,English,Variete,1950 and before'
Chere amie,Marc Lavoine,French,Variete,inconnu
chords in each key minor,PDF,English,Variete,inconnu
chordsineachkey major,PDF,English,Variete,inconnu
Ci sara,Rodmina et albano,Italien-Corse,Variete,inconnu
Clocks,Coldplay,English,Variete,2000'
Close To You,Carpenters,English,Variete,1970'
Cocaine,Eric Clapton,English,Rock,1970'
Come as You Are,Nirvana,English,Variete,1990'
Come together,Beatles,English,Rock,1960 Beatles Rolling stones'
Comfortably numb a refaire,Pink Floyd,English,Variete,1980'
Comme je l'imagine,Veronique Sanson,French,Variete,inconnu
Comme un petit coquelicot copie,Mouloudji,French,Variete,inconnu
Comment est ta peine,Benjamin Biolay,French,Variete,inconnu
Comment Lui Dire,France Gall,French,Variete,inconnu
Complicated.,Avril Lavigne,English,Variete,2000'
Corse ile d'amour,Tino Rossi,French,Variete,inconnu
Could you be loved -v a refaire,Bob Marley,English,Variete,1980'
Couleur menthe a l'eau,Eddy Mitchell,French,Variete,inconnu
Country Honk,Rolling Stones,English,Variete,inconnu
The court of the crimson king,King Crimson,English,Variete,1960'
Crazy Little Thing Called Love,Queen,English,Rock,1970'
Creep,Radiohead,English,Rock,1990'
Cry Me A River,Julie London,English,Jazz,1950 and before'
Cryin,Aerosmith,English,Variete,1990'
Dancing in the Street a refaire,The Mamas and the Papas,English,Variete,1960'
Dancing Queen,Abba,English,Variete,1970'
Dans mon ile,Henri Salvador,French,Bossa,inconnu
Dear future husband,Meghan Trainor,English,wedding,2010'
Dear Prudence a refaire,Beatles,English,Variete,inconnu
Dejeuner en paix,Stephan Eicher/Philippe Djan,French,Variete,inconnu
Desir Desir,Laurent Voulzy,French,Variete,inconnu
Di doo dah,Jane Birkin,French,Variete,inconnu
Diamonds,Rihanna,English,Variete,2010'
Diamonds And Rust,Joan Baez,English,Variete,1970'
Diego,Michel Berger,French,Variete,inconnu
Dimmi perche,Thomas Dutronc,Italien-Corse,Variete,inconnu
Dio vi salvi Regina,A filetta,Italien-Corse,Variete,inconnu
Dirty old town,The Pogues,English,Variete,1980'
Dis quand reviendras tu ?,Barbara,French,Variete,inconnu
Don't Let Me Down,The Beatles,English,Variete,1960 Beatles Rolling stones'
Don't look back in anger,Oasis,English,Pop,1990'
Dont Know Why,Norah Jones,English,Variete,2000'
The door,Teddy Swims,English,Variete,2010'
Dream a little dream of me,mamas and papas,English,Jazz,1960'
Dream on,Aerosmith,English,Rock,1970'
Dreams,Fleetwood Mac,English,Variete,1970'
Drive a refaire,Incubus,English,Variete,2000'
Drive My Car,The Beatles,English,Variete,1960 Beatles Rolling stones'
Dust in the Wind,Kansas,English,Variete,1970'
E penso-a-te,Lucio Battisti,Italien-Corse,Variete,inconnu
Easy on me,Adele,English,Girly,2010'
Easy refaire,Lionel Richie,English,Variete,inconnu
Eblouie Par La Nuit,Zaz,French,Variete,inconnu
Eclipse,Pink Floyd,English,Variete,1970'
Eight days a week,Beatles,English,Variete,1960 Beatles Rolling stones'
Emilie Jolie,Phillippe Chatel,French,Variete,inconnu
Epitaph,King Crimson,English,Variete,1960'
Eternal Flame,The Bangles,English,Variete,1980'
Everybody Hurts,R.E.M,English,Pop,1990'
Everything I Do I Do it For You,Bryan Adams,English,Variete,1990'
Evidemment,France Gall,French,Variete,inconnu
Fallin a refaire,Alicia Keys,English,Girly,2000'
Farewell Angelina,Joan Baez-Bob Dylan,English,Variete,1960'
Fat Bottomed Girls a refaire,Queen,English,Variete,1970'
Father and Son,Cat Stevens,English,Variete,1970'
Feel,Robbie Williams,English,Girly,2000'
Feeling Good,Nina Simone,English,Jazz,1950 and before'
Felicita,Albano e romina power,Italien-Corse,Variete,inconnu
Flowers,Miley Cirus,English,Girly,2010'
fortunatu,Toni Toga,French,Variete,inconnu
Fragile,Sting,English,Pop,1980'
Fuir le bonheur,Jane Birkin,French,Variete,inconnu
Girl Crush,Little Big Town,English,Variete,2010'
Give a Little Bit,Supertramp,English,Variete,1970'
Goffa lolita,La petite culotte,Italien-Corse,Variete,inconnu
Goodnight moon,Shivaree,English,Variete,1970'
Greensleeves,Sample,English,Variete,inconnu
Guitar Man,Bread,English,Variete,inconnu
Hallelujah,Jeff Buckley,English,Variete,1990'
Hallelujah,Jeff Buckley,English,Variete,1990'
Happy Together a refaire,The Turtles,English,Variete,1960'
Happy Xmas (War Is Over),John Lennon,English,Variete,1960 Beatles Rolling stones'
Harley davidson,Serge Gainsbourg,French,Variete,inconnu
Have you ever seen the Rain,Creedence Clearwater Revival,English,Variete,1970'
Hello,Lionel Richie,English,Pop,1980'
Here Comes the Sun,George Harrison - Beatles,English,Variete,1960 Beatles Rolling stones'
Higelin,cigarette - Higelin,French,Variete,inconnu
Highway star a refaire,Deep Purple,English,Variete,1970'
Hit me with your best shot,Pat Benatar,English,Variete,1980'
Hit the Road Jack,The Animals,English,Variete,1960'
Homme sweet homme,Zazie,French,Variete,inconnu
Horizons,Genesis,English,Variete,1970'
Hotel California-v a refaire,Eagles,English,Variete,1970'
House Of The Rising Sun,Animals,English,Variete,1960'
How can you mend a broken heart,Al Green,English,Variete,1970'
How Deep Is Your Love,Bee Gees,English,Variete,1970'
