Title;Artist;Language;genre;Period
21 Guns;Green Day;English;Variete;2000'
50 Ways To Leave;Paul Simon;English;Pop;1970'
A Hard Day's Night;The Beatles;English;Variete;1960 Beatles Rolling stones'
A horse with no name;America;English;Variete;1970'
A Kind of Magic;Queen;English;Variete;1980'
A la folie;Juliette Armanet;French;Variete;2010 and after'
A Whiter Shade of Pale;Procul Harum;English;Variete;1960'
About A Girl;Nirvana;English;Variete;1990'
Across The Universe;The Beatles;English;Variete;1960 Beatles Rolling stones'
Ailleurs;Jean-Louis Aubert;French;Variete;2000'
Aimer a perdre la raison;Jean Ferrat-Aragon;French;Variete;1970'
All about that bass;Meghan Trainor;English;Girly;2010 and after'
All I Want for Christmas Is You;Mariah Carey;English;Christmas;1990'
All My Loving;The Beatles;English;Variete;1960 Beatles Rolling stones'
All Of Me;Billie Holiday;English;Jazz;2010 and after'
All of Me;John Legend;English;Jazz;2010 and after'
All The Small Things;Blink 182;English;Variete;1990'
All You Need Is Love;The Beatles;English;Variete;1960 Beatles Rolling stones'
Alter Ego;Jean Louis Aubert;French;Variete;2000'
Altru mundu;Ciosi- A filetta;Italien-Corse;Variete;trad
Always Remember Us This Way;Lady Gaga;English;Variete;2010 and after'
Amoureuse;Veronique Sanson;French;Variete;1970'
And I Love Her;The Beatles;English;Variete;1960 Beatles Rolling stones'
Angels;Robbie Williams;English;Variete;1990'
Angola;Bernard Lavilliers;French;Variete;2010 and after'
Another Brick in the Wall Part 2;Pink Floyd;English;Variete;1970'
As Tears Go By;Rolling Stones;English;Variete;1960 Beatles Rolling stones'
As the years go passing by;Gary Moore;English;Blues;1990'
At Last;Etta James;English;Jazz;1960'
Babara Ann;Beach Boys;English;Variete;1960'
Baby Love;Diana Ross&the supre;English;Variete;1960'
Baby one more time;Britney spears;English;Girly;1990'
Back in the USSR;The Beatles;English;Variete;1960 Beatles Rolling stones'
Back to Black;Amy Winehouse;English;Girly;2000'
Bad boy;Yseult;French;Variete;2010 and after'
Bahia;Veronique Sanson;French;Variete;1970'
Bang Bang;Dalida;Italien-Corse;Variete;1960'
Bang Bang;Nancy Sinatra;English;Variete;1960'
Be My Baby;Ronettes - Phil Spector;English;Variete;1960'
Because The Night;Patti Smith;English;Variete;1970'
Behind blue eyes;The Who;English;Variete;1970'
Bella ciao;Traditional;Italien-Corse;Variete;trad
Besoin de personne;Veronique Sanson;French;Variete;1970'
Bien sur;Jean-Louis Aubert;French;Variete;2010 and after'
Birds of a feather;Billie Eilish;English;Girly;2010 and after'
Bitch;Meredith Brooks;English;Girly;1990'
Black magic woman;Santana;English;Variete;1960'
Blue moon;Billie Holiday;English;Jazz;1950 and before'
Boulevard of Broken Dreams;Greenday;English;Pop;2000'
Brain damage;Pink Floyd;English;Variete;1970'
Breathe;Pink Floyd;English;Variete;1970'
C'est beau la vie;Jean Ferrat;French;Variete;1960'
C'est Noel ma mie;Henri Salvador;French;Bossa;1950 and before'
California Dreaming;Mamas and The Papas;English;Variete;1960'
Call Me;Blondie;English;Pop;1980'
Can't Buy Me Love;The Beatles;English;Variete;1960 Beatles Rolling stones'
Can't Help Falling in Love;Elvis Presley;English;wedding;1960'
Cecile;Claude Nougaro;French;wedding;1960'
Ces Idees la;Bertignac;French;Variete;1990'
Cezanne Peint;France Gall;French;Variete;1980'
Changes;Black Sabbath;English;rock;1970'
Chanson pour une drole de vie;veronique sanson;French;Variete;1970'
Chasing Cars;Snow Patrol;English;Pop;2000'
Chere amie;Marc Lavoine;French;Variete;1980'
Ci sara;Rodmina et albano;Italien-Corse;Variete;1980'
Cigarette;Higelin;French;Variete;1970'
Clocks;Coldplay;English;Variete;2000'
Close To You;Carpenters;English;Variete;1970'
Cocaine;Eric Clapton;English;Rock;1970'
Come as You Are;Nirvana;English;Variete;1990'
Come together;The Beatles;English;Rock;1960 Beatles Rolling stones'
Comfortably numb;Pink Floyd;English;Variete;1980'
Comme je l'imagine;Veronique Sanson;French;Variete;1970'
Comme un petit coquelicot;Mouloudji;French;Variete;1950 and before'
Comment est ta peine;Benjamin Biolay;French;Variete;2010 and after'
Comment Lui Dire;France Gall;French;Variete;1970'
Complicated;Avril Lavigne;English;Variete;2000'
Couleur menthe a l'eau;Eddy Mitchell;French;Variete;1980'
Country Honk;Rolling Stones;English;Variete;1960 Beatles Rolling stones'
Crazy Little Thing Called Love;Queen;English;Rock;1970'
Creep;Radiohead;English;Rock;1990'
Cry Me A River;Julie London;English;Jazz;1950 and before'
Cryin;Aerosmith;English;Variete;1990'
Dancing Queen;Abba;English;Variete;1970'
Dans mon ile;Henri Salvador;French;Bossa;1950 and before'
Dear future husband;Meghan Trainor;English;wedding;2010 and after'
Dejeuner en paix;Stephan Eicher/Philippe Djan;French;Variete;1990'
Desir Desir;Laurent Voulzy;French;Variete;1980'
Di doo dah;Jane Birkin;French;Variete;1970'
Diamonds;Rihanna;English;Variete;2010 and after'
Diamonds And Rust;Joan Baez;English;Variete;1970'
Diego;Michel Berger;French;Variete;1980'
Dimmi perche;Thomas Dutronc;Italien-Corse;Variete;trad
Dirty old town;The Pogues;English;Variete;1980'
Dis quand reviendras tu ?;Barbara;French;Variete;1960'
Don't Let Me Down;The Beatles;English;Variete;1960 Beatles Rolling stones'
Dont Know Why;Norah Jones;English;Variete;2000'
Dont look back in anger;Oasis;English;Pop;1990'
Dream a little dream of me;mamas and papas;English;Jazz;1960'
Dream on;Aerosmith;English;Rock;1970'
Dreamer;Ozzy Osbourne;English;rock;2000'
Dreams;Fleetwood Mac;English;Variete;1970'
Drive My Car;The Beatles;English;Variete;1960 Beatles Rolling stones'
Dust in the Wind;Kansas;English;Variete;1970'
E penso a te;Lucio Battisti;Italien-Corse;Variete;1970'
Easy on me;Adele;English;Girly;2010 and after'
Eblouie Par La Nuit;Zaz;French;Variete;2010 and after'
Eclipse;Pink Floyd;English;Variete;1970'
Eight days a week;The Beatles;English;Variete;1960 Beatles Rolling stones'
Emilie Jolie;Phillippe Chatel;French;Variete;1980'
Epitaph;King Crimson;English;Variete;1960'
Eternal Flame;The Bangles;English;Variete;1980'
Everybody Hurts;R.E.M;English;Pop;1990'
Everything I Do I Do it For You;Bryan Adams;English;Variete;1990'
Evidemment;France Gall;French;Variete;1980'
Fallin;Alicia Keys;English;Variete;2000'
Father and Son;Cat Stevens;English;Variete;1970'
Feel;Robbie Williams;English;Girly;2000'
Feeling Good;Nina Simone;English;Jazz;1950 and before'
Felicita;Albano e romina power;Italien-Corse;Variete;1980'
Flowers;Miley Cirus;English;Girly;2010 and after'
fortunatu;Toni Toga;French;Variete;trad
Fragile;Sting;English;Pop;1980'
Fuir le bonheur;Jane Birkin;French;Variete;1980'
Girl Crush;Little Big Town;English;Variete;2010 and after'
Give a Little Bit;Supertramp;English;Variete;1970'
Glory box;Portishead;English;Variete;1990'
Goffa lolita;La petite culotte;Italien-Corse;Variete;2010 and after'
Goodnight moon;Shivaree;English;Variete;1970'
Guitar Man;Bread;English;Variete;1970'
Hallelujah;Jeff Buckley;English;Variete;1990'
Happy Xmas (War Is Over);John Lennon;English;Variete;1960 Beatles Rolling stones'
Harley davidson;Serge Gainsbourg;French;Variete;1960'
Have you ever seen the Rain;Creedence Clearwater Revival;English;Variete;1970'
Hello;Lionel Richie;English;Pop;1980'
Here Comes the Sun;George Harrison - The Beatles;English;Variete;1960 Beatles Rolling stones'
Here There And Everywhere;The Beatles;English;variete;1960 Beatles Rolling stones'
Hit me with your best shot;Pat Benatar;English;Variete;1980'
Homme sweet homme;Zazie;French;Variete;1990'
Horizons;Genesis;English;Variete;1970'
Hotel California;Eagles;English;Variete;1970'
House Of The Rising Sun;Animals;English;Variete;1960'
How can you mend a broken heart;Al Green;English;Variete;1970'
How Deep Is Your Love;Bee Gees;English;Variete;1970'
How insensitive;Carlos Jobim;English;Bossa;1960'
Hurt;Johnny Cash;English;Variete;1990'
I Dont Want To Miss A Thing;Aerosmith;English;Rock;1990'
I Dont Want to Talk About It;Rod Stewart;English;Variete;1970'
I get along without you;Chet Baker;English;Variete;1950 and before'
I go to sleep;Pretenders;English;Pop;1980'
I Got You Babe;Ub40;English;Variete;1960'
I Heard It Trough The Grapevine;Creedence Clearwater Revival;English;Variete;1960'
I kissed a girl;Katy Perry;English;Variete;2000'
I love rock and roll;Joan Jett;English;Rock;1970'
I saw her standing there;The Beatles;English;Variete;1960 Beatles Rolling stones'
I say A Little Prayer;Aretha Franklin;English;Variete;1960'
I talk to the wind;King Crimson;English;Variete;1960'
I walk the line;Johnny Cash;English;Variete;1950 and before'
I will survive;Cake;English;Variete;1990'
I Will Survive;Gloria Gaynor;English;Variete;1990'
I'd rather go blind;Etta James;English;Jazz;1960'
I'm a fool to want you;Billie holiday;English;Variete;1950 and before'
If I ain't got you;Alicia Keys;English;Variete;2000'
Il me dit que je suis belle;Patricia Kaas;French;wedding;1990'
Il n'y a pas d'amour heureux;Georges Brassens;French;Variete;1950 and before'
Il Ragazzo Della Via Gluck;Adriano Celentano;Italien-Corse;variete;1960'
Il suffirait de presque rien;Serge Reggiani;French;Variete;1960'
Ill be seeing you;Billie Holiday;English;Variete;1950 and before'
Ill Stand By You;Pretenders;English;Pop;1990'
Im not in love;10cc;English;Pop;1970'
India song;Jeanne Moreau;French;Variete;1970'
Island in the Sun;Weezer;English;Variete;2000'
Isn't she lovely;Stevie Wonder;English;wedding;1970'
isolation;Beck-deep lennon;English;Variete;2000'
It's Too Late;Carole King;English;Variete;1970'
J'ai rendez vous avec vous;Georges Brassens;French;variete;1950 and before'
Jane B;Jane Birkin;French;Variete;1960'
